类型,链接,标题,内容
Proof,https://statproofbook.github.io//P/wish-kl,Kullback-Leibler divergence,
Definition,https://statproofbook.github.io//D/nw,Definition,
Proof,https://statproofbook.github.io//P/nw-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/nw-mean,Mean,
Definition,https://statproofbook.github.io//D/ug,Definition,
Proof,https://statproofbook.github.io//P/ug-mle,Maximum likelihood estimation,
Proof,https://statproofbook.github.io//P/ug-ttest1,One-sample t-test,
Proof,https://statproofbook.github.io//P/ug-ttest2,Two-sample t-test,
Proof,https://statproofbook.github.io//P/ug-ttestp,Paired t-test,
Proof,https://statproofbook.github.io//P/ug-prior,Conjugate prior distribution,
Proof,https://statproofbook.github.io//P/ug-post,Posterior distribution,
Proof,https://statproofbook.github.io//P/ug-lme,Log model evidence,
Proof,https://statproofbook.github.io//P/ug-anc,Accuracy and complexity,
Definition,https://statproofbook.github.io//D/ugkv,Definition,
Proof,https://statproofbook.github.io//P/ugkv-mle,Maximum likelihood estimation,
Proof,https://statproofbook.github.io//P/ugkv-ztest1,One-sample z-test,
Proof,https://statproofbook.github.io//P/ugkv-ztest2,Two-sample z-test,
Proof,https://statproofbook.github.io//P/ugkv-ztestp,Paired z-test,
Proof,https://statproofbook.github.io//P/ugkv-prior,Conjugate prior distribution,
Proof,https://statproofbook.github.io//P/ugkv-post,Posterior distribution,
Proof,https://statproofbook.github.io//P/ugkv-lme,Log model evidence,
Proof,https://statproofbook.github.io//P/ugkv-anc,Accuracy and complexity,
Proof,https://statproofbook.github.io//P/ugkv-lbf,Log Bayes factor,
Proof,https://statproofbook.github.io//P/ugkv-lbfmean,Expectation of log Bayes factor,
Proof,https://statproofbook.github.io//P/ugkv-cvlme,Cross-validated log model evidence,
Proof,https://statproofbook.github.io//P/ugkv-cvlbf,Cross-validated log Bayes factor,
Proof,https://statproofbook.github.io//P/ugkv-cvlbfmean,Expectation of cross-validated log Bayes factor,
Definition,https://statproofbook.github.io//D/anova1,One-way ANOVA,
Definition,https://statproofbook.github.io//D/trss,Treatment sum of squares,
